HelioJD    	T-aveC
2457965.840953	0.492
2457965.84166	0.483
2457965.842368	0.498
2457965.843075	0.481
2457965.843783	0.488
2457965.84449	0.482
2457965.845197	0.477
2457965.845905	0.475
2457965.846612	0.471
2457965.84732	0.468
2457965.848027	0.473
2457965.848735	0.470
2457965.849442	0.482
2457965.85015	0.462
2457965.850857	0.467
2457965.851565	0.462
2457965.852272	0.469
2457965.85298	0.475
2457965.853687	0.463
2457965.854394	0.467
2457965.855101	0.452
2457965.855809	0.462
2457965.856516	0.467
2457965.857224	0.469
2457965.857931	0.465
2457965.858638	0.465
2457965.859346	0.458
2457965.860053	0.466
2457965.860761	0.464
2457965.861468	0.470
2457965.862176	0.461
2457965.862883	0.464
2457965.86359	0.470
2457965.864298	0.458
2457965.865005	0.466
2457965.865712	0.466
2457965.86642	0.468
2457965.867127	0.459
2457965.867835	0.468
2457965.868542	0.457
2457965.86925	0.463
2457965.869957	0.466
2457965.870665	0.466
2457965.871372	0.466
2457965.872079	0.458
2457965.872787	0.465
2457965.873494	0.467
2457965.874202	0.466
2457965.874909	0.468
2457965.875617	0.463
2457965.876324	0.469
2457965.877031	0.456
2457965.877739	0.468
2457965.878446	0.458
2457965.879154	0.473
2457965.879861	0.464
2457965.880568	0.460
2457965.881276	0.470
2457965.881983	0.463
2457965.882691	0.465
