Helio JD	T-aveC
2456839.918129	-0.265
2456839.918837	-0.265
2456839.919546	-0.266
2456839.920255	-0.263
2456839.920963	-0.261
2456839.921672	-0.275
2456839.922381	-0.260
2456839.923090	-0.261
2456839.923798	-0.264
2456839.924507	-0.275
2456839.925216	-0.265
2456839.925925	-0.265
2456839.926633	-0.271
2456839.927341	-0.259
2456839.928049	-0.261
2456839.928758	-0.257
2456839.929467	-0.258
2456839.930178	-0.259
2456839.930889	-0.262
2456839.931598	-0.263
2456839.932308	-0.268
2456839.933018	-0.263
2456839.933726	-0.279
2456839.934435	-0.263
2456839.935144	-0.273
2456839.935852	-0.267
2456839.936560	-0.264
2456839.937269	-0.270
2456839.937978	-0.262
2456839.938686	-0.269
2456839.939395	-0.269
2456839.940104	-0.268
2456839.940812	-0.261
2456839.941524	-0.256
2456839.942233	-0.251
2456839.943650	-0.260
2456839.944359	-0.252
2456839.945068	-0.262
2456839.945776	-0.264
2456839.946485	-0.252
2456839.947193	-0.264
2456839.947902	-0.261
2456839.948611	-0.253
2456839.949320	-0.256
2456839.950029	-0.259
2456839.950737	-0.266
2456839.951446	-0.246
2456839.952155	-0.247
2456839.952864	-0.268
2456839.953572	-0.255
2456839.954281	-0.257
2456839.954990	-0.252
2456839.955698	-0.255
2456839.956407	-0.257
2456839.957116	-0.258
2456839.957825	-0.248
2456839.958533	-0.268
