JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5 C4-K1 s6 C5-K1 s7 C6-K1 s8
Aperture: 7, Filter: Aucun, JD: geocentric
2457660.5540027 -1.39813 0.00164 -1.66201 0.00367 -0.18619 0.00439 -0.58286 0.00408 -0.28124 0.00430 0.13944 0.00477 0.01860 0.00479 -0.50684 0.00412
2457660.5561789 -1.39654 0.00160 -1.66544 0.00356 -0.18829 0.00429 -0.58985 0.00398 -0.28166 0.00420 0.12891 0.00463 0.01262 0.00467 -0.51199 0.00401
2457660.5584118 -1.40031 0.00162 -1.66712 0.00357 -0.18575 0.00430 -0.58676 0.00398 -0.27902 0.00421 0.13206 0.00466 0.01015 0.00466 -0.50956 0.00403
2457660.5603392 -1.40339 0.00167 -1.66186 0.00365 -0.18219 0.00441 -0.57755 0.00410 -0.27142 0.00432 0.14329 0.00483 0.02954 0.00483 -0.50641 0.00413
2457660.5628206 -1.40683 0.00164 -1.67468 0.00364 -0.19160 0.00436 -0.58806 0.00407 -0.28001 0.00429 0.13019 0.00477 0.01423 0.00476 -0.50945 0.00412
2457660.5647313 -1.41012 0.00163 -1.67405 0.00366 -0.19059 0.00437 -0.58089 0.00408 -0.27709 0.00429 0.14081 0.00475 0.01721 0.00480 -0.50915 0.00412
2457660.5668692 -1.41654 0.00162 -1.68167 0.00367 -0.18670 0.00439 -0.58022 0.00409 -0.28046 0.00431 0.13865 0.00477 0.01220 0.00478 -0.51152 0.00412
2457660.5687076 -1.41394 0.00158 -1.67619 0.00364 -0.18885 0.00431 -0.57911 0.00404 -0.27338 0.00424 0.13817 0.00468 0.01459 0.00467 -0.50423 0.00407
2457660.5708624 -1.42042 0.00157 -1.68709 0.00361 -0.18861 0.00431 -0.59034 0.00400 -0.27982 0.00422 0.13819 0.00465 0.01346 0.00467 -0.50767 0.00404
2457660.5727343 -1.41680 0.00157 -1.68066 0.00365 -0.18380 0.00433 -0.58227 0.00405 -0.28180 0.00424 0.13977 0.00467 0.01366 0.00465 -0.50586 0.00407
2457660.5752359 -1.41693 0.00159 -1.68143 0.00364 -0.18559 0.00434 -0.57913 0.00405 -0.28388 0.00424 0.13852 0.00469 0.01150 0.00469 -0.50722 0.00407
2457660.5771417 -1.41723 0.00160 -1.67999 0.00369 -0.18040 0.00440 -0.58011 0.00410 -0.28058 0.00430 0.14185 0.00474 0.01347 0.00474 -0.50743 0.00414
2457660.5793588 -1.41872 0.00161 -1.68100 0.00367 -0.18449 0.00438 -0.57637 0.00408 -0.27680 0.00432 0.14182 0.00476 0.01175 0.00472 -0.50804 0.00412
2457660.5813855 -1.42054 0.00159 -1.69045 0.00363 -0.19143 0.00435 -0.58648 0.00404 -0.28262 0.00425 0.13172 0.00468 0.00629 0.00470 -0.51499 0.00407
2457660.5833895 -1.41696 0.00160 -1.67758 0.00366 -0.18103 0.00435 -0.57951 0.00406 -0.27394 0.00427 0.14276 0.00472 0.01751 0.00473 -0.50574 0.00410
2457660.5853056 -1.42266 0.00157 -1.68401 0.00361 -0.18152 0.00430 -0.57814 0.00401 -0.27281 0.00420 0.13627 0.00462 0.01592 0.00464 -0.50667 0.00404
2457660.5874266 -1.41789 0.00156 -1.68827 0.00360 -0.19266 0.00426 -0.58490 0.00399 -0.28612 0.00419 0.12583 0.00459 0.01031 0.00462 -0.51438 0.00402
2457660.5893527 -1.41947 0.00157 -1.68148 0.00359 -0.18670 0.00428 -0.57895 0.00399 -0.27536 0.00419 0.14213 0.00463 0.01246 0.00461 -0.50413 0.00402
2457660.5911141 -1.41720 0.00157 -1.68263 0.00354 -0.18802 0.00423 -0.58060 0.00394 -0.28321 0.00415 0.13695 0.00459 0.01320 0.00461 -0.50900 0.00397
2457660.5933956 -1.41879 0.00155 -1.68540 0.00358 -0.18752 0.00425 -0.58334 0.00398 -0.27884 0.00417 0.13681 0.00462 0.01096 0.00461 -0.51418 0.00400
2457660.5954438 -1.41844 0.00155 -1.68288 0.00356 -0.18176 0.00425 -0.58250 0.00396 -0.27582 0.00415 0.13923 0.00456 0.01345 0.00460 -0.51424 0.00398
2457660.5975043 -1.42071 0.00155 -1.68312 0.00357 -0.18468 0.00424 -0.57749 0.00395 -0.27380 0.00416 0.13749 0.00459 0.01529 0.00459 -0.50952 0.00399
2457660.5993338 -1.41874 0.00155 -1.68558 0.00353 -0.19215 0.00420 -0.58108 0.00393 -0.27560 0.00414 0.13068 0.00452 0.00723 0.00454 -0.51118 0.00397
2457660.6014728 -1.42011 0.00155 -1.68324 0.00355 -0.18382 0.00424 -0.57705 0.00395 -0.27711 0.00416 0.13425 0.00459 0.01830 0.00455 -0.51153 0.00399
