JDHEL V-C s1 HELCOR AIRMASS
Aperture: 6, Filter: Clear, JD: heliocentric
2457127.9267211 -0.47973 0.00364 0.0008999 1.1313
2457127.9274777 -0.48573 0.00345 0.0008999 1.1298
2457127.9282344 -0.47853 0.00341 0.0008999 1.1284
2457127.9289910 -0.48423 0.00338 0.0009000 1.1270
2457127.9297475 -0.48178 0.00363 0.0009000 1.1255
2457127.9305041 -0.47919 0.00374 0.0009000 1.1242
2457127.9312609 -0.48662 0.00398 0.0009001 1.1228
2457127.9320174 -0.48796 0.00360 0.0009001 1.1214
2457127.9327742 -0.48877 0.00362 0.0009001 1.1201
2457127.9335309 -0.49056 0.00365 0.0009002 1.1187
2457127.9342873 -0.48681 0.00343 0.0009002 1.1174
2457127.9350439 -0.48500 0.00325 0.0009002 1.1161
2457127.9358008 -0.48506 0.00326 0.0009003 1.1148
2457127.9365572 -0.48299 0.00337 0.0009003 1.1136
2457127.9373138 -0.47698 0.00357 0.0009004 1.1123
