JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5
Aperture: 10, JD: geocentric
2457918.4425243 -0.52273 0.00170 -0.85590 0.00276 -0.20899 0.00315 -0.53164 0.00292 -0.22780 0.00314
2457918.4432906 -0.51676 0.00170 -0.84791 0.00274 -0.20988 0.00314 -0.52754 0.00289 -0.22567 0.00313
2457918.4440570 -0.52414 0.00169 -0.84721 0.00269 -0.20034 0.00307 -0.52062 0.00287 -0.21746 0.00309
2457918.4448226 -0.52322 0.00169 -0.85089 0.00272 -0.20581 0.00311 -0.52605 0.00288 -0.22011 0.00312
2457918.4455881 -0.52237 0.00170 -0.84989 0.00270 -0.20182 0.00310 -0.52710 0.00286 -0.22214 0.00309
2457918.4463537 -0.52804 0.00171 -0.85032 0.00274 -0.19920 0.00315 -0.52191 0.00290 -0.21428 0.00312
2457918.4471194 -0.53003 0.00172 -0.85484 0.00276 -0.20237 0.00317 -0.52121 0.00295 -0.22047 0.00320
2457918.4478849 -0.52284 0.00174 -0.84744 0.00280 -0.19830 0.00319 -0.52221 0.00298 -0.22243 0.00322
2457918.4486503 -0.51991 0.00174 -0.85474 0.00285 -0.21145 0.00323 -0.53300 0.00301 -0.22905 0.00325
2457918.4494157 -0.52324 0.00175 -0.85051 0.00282 -0.20307 0.00324 -0.52911 0.00300 -0.21742 0.00323
2457918.4501813 -0.52730 0.00177 -0.86098 0.00286 -0.21383 0.00328 -0.53152 0.00302 -0.22487 0.00331
2457918.4509466 -0.52525 0.00175 -0.86034 0.00285 -0.21043 0.00327 -0.53815 0.00303 -0.22408 0.00327
2457918.4517121 -0.52129 0.00176 -0.85455 0.00280 -0.20987 0.00319 -0.53449 0.00300 -0.22344 0.00325
2457918.4524776 -0.52172 0.00173 -0.85446 0.00280 -0.21028 0.00319 -0.53163 0.00296 -0.22511 0.00320
2457918.4532429 -0.52083 0.00172 -0.84798 0.00273 -0.20192 0.00315 -0.52615 0.00289 -0.22207 0.00315
2457918.4540091 -0.52267 0.00171 -0.84833 0.00276 -0.20360 0.00318 -0.52129 0.00294 -0.22197 0.00318
2457918.4547755 -0.52579 0.00173 -0.85455 0.00278 -0.20558 0.00321 -0.52876 0.00296 -0.22036 0.00321
2457918.4555415 -0.52583 0.00172 -0.85298 0.00280 -0.20252 0.00319 -0.52645 0.00296 -0.22111 0.00320
2457918.4563070 -0.52553 0.00170 -0.85555 0.00272 -0.20412 0.00316 -0.52955 0.00290 -0.22492 0.00312
2457918.4570723 -0.52228 0.00169 -0.85214 0.00269 -0.20883 0.00308 -0.52940 0.00286 -0.21993 0.00311
2457918.4578378 -0.52441 0.00169 -0.85353 0.00275 -0.20677 0.00315 -0.52919 0.00291 -0.21981 0.00317
2457918.4586032 -0.52276 0.00171 -0.85259 0.00278 -0.20479 0.00319 -0.53111 0.00296 -0.22157 0.00320
2457918.4593685 -0.52283 0.00175 -0.84988 0.00283 -0.20390 0.00325 -0.52563 0.00301 -0.22054 0.00325
2457918.4601349 -0.52691 0.00176 -0.85659 0.00282 -0.20774 0.00327 -0.52612 0.00301 -0.22477 0.00325
2457918.4609005 -0.52382 0.00179 -0.84845 0.00291 -0.19703 0.00335 -0.52349 0.00308 -0.22207 0.00333
2457918.4616658 -0.52148 0.00179 -0.85173 0.00292 -0.20569 0.00335 -0.52661 0.00309 -0.22804 0.00335
2457918.4624319 -0.52518 0.00179 -0.85647 0.00297 -0.20739 0.00339 -0.52962 0.00315 -0.22581 0.00343
2457918.4631974 -0.52385 0.00175 -0.85484 0.00278 -0.20664 0.00323 -0.53135 0.00296 -0.22326 0.00321
2457918.4639637 -0.51987 0.00173 -0.85479 0.00288 -0.21049 0.00328 -0.53439 0.00303 -0.22848 0.00328
2457918.4652105 -0.52381 0.00170 -0.84845 0.00274 -0.20055 0.00317 -0.52482 0.00290 -0.21690 0.00315
2457918.4659758 -0.52509 0.00169 -0.84973 0.00273 -0.20161 0.00313 -0.52518 0.00289 -0.21540 0.00312
2457918.4667414 -0.52230 0.00169 -0.85096 0.00269 -0.20014 0.00309 -0.53257 0.00288 -0.22031 0.00309
2457918.4675071 -0.52832 0.00167 -0.85299 0.00269 -0.19833 0.00312 -0.52409 0.00287 -0.22016 0.00308
2457918.4682726 -0.52085 0.00170 -0.85209 0.00274 -0.20695 0.00313 -0.53374 0.00289 -0.22062 0.00315
2457918.4690382 -0.52604 0.00171 -0.84905 0.00275 -0.19951 0.00319 -0.52035 0.00293 -0.21846 0.00316
2457918.4698039 -0.52754 0.00174 -0.85573 0.00282 -0.20094 0.00323 -0.52717 0.00299 -0.22514 0.00323
2457918.4705694 -0.52454 0.00174 -0.85025 0.00280 -0.20070 0.00324 -0.52706 0.00297 -0.21732 0.00323
2457918.4713349 -0.52437 0.00179 -0.84931 0.00285 -0.20073 0.00326 -0.52396 0.00302 -0.21886 0.00329
2457918.4721006 -0.52025 0.00169 -0.84930 0.00274 -0.20531 0.00316 -0.53030 0.00291 -0.21957 0.00315
2457918.4728662 -0.52471 0.00168 -0.85462 0.00271 -0.20039 0.00311 -0.53295 0.00287 -0.22370 0.00309
2457918.4736357 -0.52682 0.00167 -0.85487 0.00272 -0.20331 0.00312 -0.52658 0.00289 -0.22313 0.00309
2457918.4744015 -0.52419 0.00167 -0.85124 0.00271 -0.20225 0.00311 -0.52784 0.00289 -0.21919 0.00310
2457918.4751678 -0.52807 0.00170 -0.85459 0.00275 -0.20110 0.00313 -0.52487 0.00290 -0.22252 0.00311
2457918.4759334 -0.52879 0.00168 -0.86023 0.00274 -0.20648 0.00314 -0.52950 0.00289 -0.22736 0.00315
2457918.4766994 -0.52964 0.00167 -0.85634 0.00274 -0.20117 0.00314 -0.52632 0.00289 -0.22114 0.00316
2457918.4774650 -0.52870 0.00170 -0.85398 0.00277 -0.20196 0.00318 -0.52430 0.00294 -0.21833 0.00319
2457918.4782305 -0.53379 0.00173 -0.85629 0.00281 -0.20147 0.00322 -0.52112 0.00297 -0.21380 0.00326
2457918.4789962 -0.53425 0.00173 -0.86954 0.00286 -0.20949 0.00330 -0.53805 0.00304 -0.22582 0.00331
