#HJD          dMag   Err    Fil
2456874.66340 1.1435 0.0020 I 
2456874.66354 1.1309 0.0020 I 
2456874.66368 1.1379 0.0020 I 
2456874.66381 1.1450 0.0020 I 
2456874.66395 1.1391 0.0020 I 
2456874.66409 1.1481 0.0020 I 
2456874.66423 1.1378 0.0020 I 
2456874.66437 1.1387 0.0020 I 
2456874.66451 1.1368 0.0020 I 
2456874.66465 1.1415 0.0020 I 
2456874.66479 1.1400 0.0020 I 
2456874.66494 1.1336 0.0020 I 
2456874.66507 1.1387 0.0020 I 
2456874.66521 1.1460 0.0020 I 
2456874.66535 1.1303 0.0020 I 
2456874.66549 1.1420 0.0019 I 
2456874.66563 1.1439 0.0020 I 
2456874.66577 1.1355 0.0020 I 
2456874.66590 1.1426 0.0020 I 
2456874.66604 1.1398 0.0020 I 
2456874.66618 1.1402 0.0020 I 
2456874.66632 1.1371 0.0020 I 
2456874.66646 1.1447 0.0020 I 
2456874.66660 1.1418 0.0020 I 
2456874.66674 1.1330 0.0020 I 
2456874.66688 1.1341 0.0020 I 
2456874.66702 1.1425 0.0020 I 
2456874.66715 1.1438 0.0020 I 
2456874.66729 1.1573 0.0023 I 
2456874.66743 1.1419 0.0021 I 
2456874.66757 1.1459 0.0020 I 
2456874.66771 1.1436 0.0020 I 
2456874.66785 1.1477 0.0020 I 
2456874.66798 1.1469 0.0020 I 
2456874.66812 1.1548 0.0020 I 
2456874.66826 1.1479 0.0021 I 
2456874.66840 1.1490 0.0020 I 
2456874.66854 1.1513 0.0021 I 
2456874.66867 1.1337 0.0021 I 
2456874.66882 1.1467 0.0021 I 
2456874.66895 1.1507 0.0022 I 
2456874.66909 1.1457 0.0021 I 
2456874.66923 1.1483 0.0021 I 
2456874.66937 1.1512 0.0021 I 
2456874.66951 1.1495 0.0021 I 
2456874.66965 1.1424 0.0020 I 
2456874.66978 1.1562 0.0021 I 
2456874.66992 1.1463 0.0021 I 
2456874.67006 1.1558 0.0022 I 
2456874.67020 1.1488 0.0020 I 
2456874.67034 1.1447 0.0021 I 
2456874.67048 1.1516 0.0021 I 
2456874.67061 1.1464 0.0020 I 
2456874.67076 1.1433 0.0020 I 
2456874.67089 1.1430 0.0020 I 
2456874.67103 1.1470 0.0020 I 
2456874.67117 1.1435 0.0020 I 
2456874.67131 1.1496 0.0020 I 
2456874.67145 1.1428 0.0020 I 
2456874.67159 1.1518 0.0020 I 
2456874.67172 1.1504 0.0021 I 
2456874.67185 1.1550 0.0021 I 
2456874.67199 1.1443 0.0021 I 
2456874.67213 1.1570 0.0021 I 
2456874.67227 1.1419 0.0020 I 
2456874.67240 1.1401 0.0020 I 
2456874.67254 1.1471 0.0020 I 
2456874.67268 1.1452 0.0020 I 
2456874.67282 1.1432 0.0021 I 
2456874.67296 1.1574 0.0021 I 
2456874.67310 1.1639 0.0022 I 
2456874.67324 1.1492 0.0021 I 
2456874.67337 1.1583 0.0021 I 
2456874.67351 1.1493 0.0021 I 
2456874.67365 1.1393 0.0020 I 
2456874.67379 1.1560 0.0021 I 
2456874.67393 1.1419 0.0020 I 
2456874.67406 1.1522 0.0020 I 
2456874.67420 1.1577 0.0021 I 
2456874.67434 1.1479 0.0020 I 
2456874.67448 1.1508 0.0020 I 
2456874.67462 1.1475 0.0020 I 
2456874.67476 1.1586 0.0021 I 
2456874.67490 1.1489 0.0021 I 
2456874.67504 1.1502 0.0021 I 
2456874.67517 1.1501 0.0020 I 
2456874.67531 1.1521 0.0021 I 
2456874.67545 1.1505 0.0021 I 
2456874.67559 1.1643 0.0022 I 
2456874.67573 1.1520 0.0022 I 
2456874.67587 1.1548 0.0022 I 
2456874.67601 1.1529 0.0021 I 
2456874.67614 1.1609 0.0021 I 
2456874.67628 1.1397 0.0021 I 
2456874.67642 1.1440 0.0021 I 
2456874.67656 1.1535 0.0021 I 
2456874.67670 1.1586 0.0022 I 
2456874.67684 1.1505 0.0023 I 
2456874.67698 1.1530 0.0022 I 
2456874.67711 1.1537 0.0025 I 
